no_of_samples,enb_rssi,ue_rssi,enb_rsrp,ue_rsrp,enb_pwr,ue_pwr
,-46,-55,-69,-69,-20.3487,-20.084669
,-48,-55,-68,-69,-20.1314,-20.47369
,-47,-55,-69,-70,-20.0152,-20.20897
,-50,-55,-71,-70,-19.9799,-19.94787
,-48,-55,-74,-70,-21.2154,-20.23847
,-46,-55,-71,-69,-20.502,-20.241769
,-45,-55,-68,-69,-20.0179,-20.220269
,-45,-55,-68,-69,-20.1466,-20.281669
,-46,-55,-69,-69,-20.185,-20.405469
,-46,-55,-69,-69,-20.4072,-20.418169
,-52,-55,-81,-69,-30.6145,-20.43969
,-50,-55,-69,-69,-20.8466,-19.289869
,-47,-55,-70,-69,-20.1862,-20.274369
,-49,-55,-76,-69,-25.8869,-20.273969
,-45,-55,-69,-69,-20.1031,-19.378469
,-46,-55,-68,-69,-20.4728,-20.252669
,-46,-55,-68,-69,-20.3806,-20.090969
,-47,-55,-70,-69,-21.2875,-20.371669
,-49,-55,-71,-69,-21.195,-20.320369
,-49,-55,-73,-69,-21.5145,-20.310869
,-49,-55,-73,-69,-21.5644,-20.843769
,-46,-55,-69,-69,-20.5051,-20.544169
,-46,-55,-69,-69,-20.8481,-20.177269
,-47,-55,-72,-69,-22.1494,-20.060869
,-47,-55,-70,-69,-21.4928,-20.321669
,-48,-55,-71,-70,-21.2808,-19.88027
,-49,-55,-70,-70,-20.6494,-19.92487
,-47,-55,-71,-69,-20.1642,-20.378369
,-48,-55,-73,-70,-21.2769,-20.13867
,-46,-55,-74,-70,-20.8985,-19.92717
,-46,-55,-70,-70,-21.2877,-20.04127
,,-55,,-70,,-19.93137
,,-55,,-70,,-17.75597
,,-55,,-70,,-17.8577
