no_of_samples,enb_rssi,ue_rssi,enb_rsrp,ue_rsrp,enb_pwr,ue_pwr
,-44,-58,-65,-72,-19.3855,-18.596872
,-50,-56,-54,-70,-14.5111,-18.48387
,-48,-58,-73,-75,-22.7969,-18.843775
,-47,-61,-69,-80,-19.5487,-14.92628
,-48,-60,-74,-78,-22.5624,-14.785878
,-49,-57,-76,-71,-23.7785,-19.591471
,-47,-57,-72,-70,-21.8429,-21.54577
,-48,-61,-75,-77,-24.3517,-16.27977
,-50,-59,-78,-73,-28.4108,-17.344373
,-44,-56,-64,-70,-18.2032,-20.41937
,-48,-54,-67,-67,-20.0935,-22.165567
,-45,-57,-63,-71,-15.4062,-19.638471
,-44,-58,-67,-72,-16.9852,-18.714272
,-49,-57,-77,-71,-24.57,-18.235971
,-43,-57,-65,-72,-18.2728,-19.801772
,-41,-58,-62,-74,-15.6883,-19.358774
,-51,-58,-83,-72,-30.1683,-16.279772
,-45,-59,-68,-74,-19.4463,-15.824274
,-40,-56,-57,-71,-12.9851,-20.953971
,-46,-58,-68,-73,-19.0461,-17.530173
,-48,-59,-74,-72,-22.1693,-19.004672
,-51,-60,-85,-76,-28.1343,-16.746276
,-39,-59,-60,-73,-14.4905,-19.249673
,-38,-59,-56,-76,-12.4705,-16.441376
,-44,-57,-65,-71,-18.7088,-18.756271
,-44,-54,-70,-68,-18.5442,-22.422468
,-43,-58,-65,-72,-15.7155,-18.241172
,-51,-58,-78,-74,-24.8366,-18.153474
,-47,-59,-79,-75,-22.7583,-16.378675
,-42,-55,-65,-68,-16.4372,-21.638968
,-43,-58,-66,-73,-18.5352,-19.173
,-52,-54,-81,-68,-28.8264,-22.041968
,-43,-57,-66,-70,-19.2245,-19.94577
,-45,-57,-66,-71,-18.3515,-20.13871
,-40,-54,-58,-67,-13.9558,-22.943367
,-44,-56,-66,-69,-17.4621,-21.05169
,-42,-57,-69,-71,-16.5791,-19.559171
,-42,-58,-65,-73,-16.6202,-14.71573
,-48,-56,-77,-72,-25.1236,-18.924472
,-49,-57,-79,-71,-27.1913,-19.353671
,-41,-59,-62,-74,-15.4032,-18.579874
,-46,-59,-68,-74,-19.8247,-15.821774
,-44,-58,-66,-72,-17.6427,-19.48672
,-47,-58,-73,-72,-20.321,-18.954272
,-45,-58,-74,-73,-20.1255,-19.602473
,-46,-58,-72,-72,-21.6602,-18.584272
,-44,-59,-69,-75,-19.7326,-16.492475
,-44,-54,-69,-67,-20.4228,-23.641767
,-45,-59,-65,-73,-19.2591,-18.482373
,-51,-58,-80,-72,-27.0966,-16.827872
,-45,-59,-63,-73,-15.7136,-21.039573
,-51,-58,-80,-72,-27.1347,-18.561372
,-50,-55,-77,-68,-26.4821,-20.4968
,-42,-54,-63,-67,-18.5241,-24.108967
,-42,-56,-64,-70,-17.2462,-19.69497
,-44,-57,-65,-70,-18.9258,-19.18947
,-42,-52,-64,-65,-16.4963,-22.40265
,-46,-56,-67,-71,-18.3028,-20.62671
,-38,-56,-57,-70,-10.5997,-18.9297
,-42,-50,-68,-63,-15.8386,-24.524563
,-38,-52,-60,-65,-12.5109,-24.181165
,-43,-53,-67,-66,-18.3898,-22.871166
,-39,-52,-61,-65,-14.0657,-22.290565
,-37,-48,-60,-61,-11.8409,-26.683861
,-39,-49,-60,-62,-12.5023,-25.105862
,-39,-47,-60,-60,-11.326,-26.45376
,-39,-48,-62,-61,-11.928,-26.703361
,-36,-47,-61,-60,-10.1884,-26.62066
