no_of_samples;enb_rssi;ue_rssi;enb_rsrp;ue_rsrp;enb_pwr;ue_pwr
46;-50;-56;-74;-69;-23.4679;-20.554369
47;-49;-55;-71;-68;-22.4803;-21.05668
48;-46;-57;-67;-70;-20.0462;-19.43797
49;-45;-57;-67;-70;-20.1589;-19.84957
50;-45;-57;-68;-70;-19.9641;-19.92847
51;-46;-57;-69;-70;-20.1128;-19.92647
52;-47;-57;-71;-70;-20.4847;-19.8867
53;-47;-58;-73;-71;-20.2154;-19.129971
54;-51;-57;-79;-70;-24.0841;-19.32197
55;-53;-56;-76;-69;-24.128;-20.567869
56;-49;-56;-72;-69;-23.3135;-20.155569
57;-48;-56;-71;-69;-22.9186;-20.268869
58;-48;-56;-71;-69;-22.8454;-20.261669
59;-49;-56;-73;-69;-23.2341;-20.236169
60;-50;-56;-74;-69;-23.3074;-20.498469
61;-50;-56;-75;-70;-22.8936;-20.09457
62;-51;-56;-73;-69;-23.5121;-20.248469
63;-51;-55;-72;-69;-23.6285;-20.715969
64;-49;-55;-72;-69;-23.7045;-20.695969
65;-49;-55;-72;-69;-23.5549;-20.755869
66;-49;-55;-73;-69;-23.859;-20.751669
67;-49;-56;-74;-69;-23.4138;-20.300669
68;-50;-56;-74;-69;-23.3535;-20.205369
69;-51;-56;-78;-69;-23.9373;-20.553169
70;-51;-56;-73;-69;-23.3442;-20.156269
71;-51;-56;-71;-69;-23.2499;-20.404669
72;-48;-56;-70;-69;-23.3689;-20.483869
73;-47;-56;-70;-69;-22.1389;-20.020769
74;-45;-60;-67;-74;-19.5944;-17.075774
75;-47;-55;-71;-68;-21.4447;-21.41468
76;-49;-54;-76;-66;-21.7451;-22.115866
77;-48;-58;-69;-71;-20.7081;-18.988471
78;-48;-59;-69;-73;-21.1014;-17.943773
79;-47;-59;-70;-73;-21.4494;-17.756973
80;-46;-59;-70;-73;-21.3796;-17.38673
81;-46;-60;-69;-74;-21.0804;-16.865774
82;-47;-59;-71;-73;-21.8016;-17.473173
83;-48;-60;-73;-74;-21.6324;-16.760874
84;-48;-60;-74;-74;-21.308;-16.989374
85;-49;-60;-77;-74;-21.2998;-17.044374
86;-49;-60;-72;-74;-21.6363;-17.057274
87;-49;-60;-70;-75;-21.9686;-16.472275
88;-49;-60;-69;-74;-21.286;-17.233174
89;-47;-60;-70;-74;-21.6822;-16.623974
90;-47;-59;-72;-74;-21.699;-17.224774
91;-48;-59;-72;-73;-21.5768;-17.506173
92;-49;-59;-74;-73;-21.553;-17.55473
93;-49;-59;-78;-73;-21.5986;-17.650273
94;-48;-59;-72;-74;-21.3596;-17.237574
95;-46;-59;-69;-73;-21.2927;-17.574373
96;-47;-59;-71;-73;-22.2907;-17.290973
97;-47;-59;-71;-73;-21.6976;-17.600573
98;-47;-59;-71;-73;-21.3409;-17.874973
99;-48;-59;-72;-72;-21.1578;-18.04172
100;-49;-59;-75;-73;-21.8127;-17.780473
101;-49;-59;-72;-73;-21.5115;-18.066473
102;-49;-59;-69;-73;-21.1645;-17.780473
103;-47;-58;-70;-71;-21.4048;-18.986971
104;-46;-58;-69;-71;-21.0719;-19.308271
105;-46;-58;-70;-71;-20.9407;-19.241171
106;-47;-58;-71;-71;-21.0033;-19.292671
107;-48;-58;-73;-71;-21.044;-19.227471
108;-48;-58;-77;-71;-20.7611;-18.869771
109;-49;-57;-71;-71;-21.3699;-19.499671
110;-48;-58;-71;-71;-22.4285;-19.297771
111;-47;-57;-71;-70;-22.4597;-19.86987
112;-46;-57;-69;-70;-20.9726;-19.80137
113;-47;-58;-72;-71;-21.1569;-19.151471
114;-48;-58;-73;-71;-21.6134;-18.763471
115;-48;-57;-73;-71;-20.9295;-19.44571
116;-49;-58;-71;-72;-21.3372;-18.578372
117;-49;-58;-70;-71;-21.5772;-18.98571
118;-47;-58;-70;-71;-21.6592;-19.080171
119;-46;-56;-69;-70;-20.547;-20.77777
120;-49;-51;-73;-64;-23.7176;-24.186964
121;-49;-52;-74;-64;-23.2751;-23.627664
122;-50;-52;-75;-65;-23.562;-23.439165
123;-50;-52;-76;-65;-23.5856;-23.394565
124;-50;-52;-78;-65;-22.9172;-23.297465
125;-50;-52;-75;-65;-22.313;-23.383265
126;-48;-52;-70;-65;-22.1097;-23.516865
127;-47;-52;-70;-65;-22.049;-23.643365
128;-48;-51;-71;-64;-22.2981;-23.750764
129;-48;-51;-72;-64;-21.9124;-23.6564
130;-49;-51;-73;-64;-21.6982;-23.814364
131;-49;-51;-76;-64;-21.6667;-23.839164
132;-50;-51;-82;-64;-21.6639;-23.890364
133;-47;-51;-73;-64;-21.6764;-23.897164
134;-47;-51;-70;-64;-21.5734;-23.864
135;-46;-51;-70;-64;-21.6272;-23.801364
136;-47;-51;-71;-64;-21.7498;-23.950764
137;-47;-51;-72;-64;-21.4484;-23.800464
138;-48;-51;-73;-64;-21.295;-23.893264
139;-48;-51;-75;-64;-21.2313;-24.004364
140;-49;-51;-71;-64;-21.2846;-23.888564
141;-47;-51;-70;-64;-21.7241;-23.916764
142;-47;-51;-70;-64;-21.7532;-23.999964
143;-47;-51;-70;-64;-21.5486;-23.791264
144;-47;-51;-72;-64;-21.5838;-23.956864
145;-48;-51;-73;-64;-21.6043;-24.012264
146;-48;-51;-75;-64;-21.5649;-23.939964
147;-49;-51;-78;-64;-21.5598;-23.964664
148;-48;-51;-72;-64;-21.5069;-23.864764
149;-47;-51;-70;-64;-21.5685;-23.849664
150;-46;-51;-70;-64;-21.6039;-24.090764
151;-46;-51;-70;-64;-21.2783;-23.873464
152;-47;-51;-71;-64;-21.1295;-23.921964
153;-47;-51;-72;-64;-21.1265;-23.947564
154;-48;-51;-74;-64;-21.1756;-23.895964
155;-49;-51;-71;-64;-21.5313;-24.047264
